Ace Headgear : Ace Ticket x2,Seregios Lens x1,S.Nerscylla Cortex x3,Elder Dragon Blood x2, : 2 筆頭チケット,1 千刃竜の鏡玉,3 骸蜘蛛の重殻,2 古龍の血
Ace Mail : Ace Ticket x1,Rathalos Plate x1,S.Nerscylla Scishorn x3,Elder Dragon Blood x2, : 1 筆頭チケット,1 火竜の逆鱗,3 骸蜘蛛の重鋏角,2 古龍の血
Ace Faulds : Ace Ticket x1,Zinogre Plate x1,Pearl Glosshide x2,Elder Dragon Blood x2, : 1 筆頭チケット,1 雷狼竜の逆鱗,2 真珠色の艶皮,2 古龍の血
Ace Greaves : Ace Ticket x2,Gore Magala Plate x1,S.Nerscylla Surspike x2,Elder Dragon Blood x2, : 2 筆頭チケット,1 黒蝕竜の逆鱗,2 骸蜘蛛の秘棘,2 古龍の血
Ace Vambraces : Ace Ticket x2,Rathian Plate x1,S.Nerscylla Hardclaw x2,Elder Dragon Blood x2, : 2 筆頭チケット,1 雌火竜の逆鱗,2 骸蜘蛛の剛爪,2 古龍の血
Ace Mask : Ace Ticket x2,Seregios Lens x1,S.Nerscylla Cortex x3,Elder Dragon Blood x2, : 2 筆頭チケット,1 千刃竜の鏡玉,3 骸蜘蛛の重殻,2 古龍の血
Ace Vest : Ace Ticket x1,Rathalos Plate x1,S.Nerscylla Scishorn x3,Elder Dragon Blood x2, : 1 筆頭チケット,1 火竜の逆鱗,3 骸蜘蛛の重鋏角,2 古龍の血
Ace Coat : Ace Ticket x1,Zinogre Plate x1,Pearl Glosshide x2,Elder Dragon Blood x2, : 1 筆頭チケット,1 雷狼竜の逆鱗,2 真珠色の艶皮,2 古龍の血
Ace Leggings : Ace Ticket x2,Gore Magala Plate x1,S.Nerscylla Surspike x2,Elder Dragon Blood x2, : 2 筆頭チケット,1 黒蝕竜の逆鱗,2 骸蜘蛛の秘棘,2 古龍の血
Ace Guards : Ace Ticket x2,Rathian Plate x1,S.Nerscylla Hardclaw x2,Elder Dragon Blood x2, : 2 筆頭チケット,1 雌火竜の逆鱗,2 骸蜘蛛の剛爪,2 古龍の血
Adamance Archhelm : D.Mohran Bloodscale+ x5,Brutal Horn+ x4,D.Mohran Carapace x5,Commendation G x1, : 5 豪山龍の上紅鱗,4 荒々しい龍尖角,5 豪山龍の堅岩殻,1 勇気の証Ｇ
Adamance Archplate : D.Mohran Carapace x6,Dah'renstone x4,Elder Dragon Blood x1,Commendation G x1, : 6 豪山龍の堅岩殻,4 豪龍岩,1 古龍の血,1 勇気の証Ｇ
Adamance Archgirdle : D.Mohran Brace+ x4,D.Mohran Carapace x6,D.Mohran Bloodscale+ x5,Commendation G x1, : 4 豪山龍の上腕甲,6 豪山龍の堅岩殻,5 豪山龍の上紅鱗,1 勇気の証Ｇ
Adamance Archpleats : D.Mohran Bloodscale+ x5,D.Mohran Carapace x6,Earth Dragongem x1,Commendation G x1, : 5 豪山龍の上紅鱗,6 豪山龍の堅岩殻,1 大地の龍玉,1 勇気の証Ｇ
