  0: Leather Headgear     Leather Vest     Leather Gloves     Leather Belt     Leather Pants
  1: Piscine Mask     Chainmail Vest     Chainmail Gloves     Piscine Belt     Piscine Leggings
  2: Chainmail Headgear     Loc Lac Shawl     Hunter's Vambraces     Chainmail Belt     Chainmail Pants
  3: Hunter's Helm     Hunter's Mail     Hunter's Guards     Loc Lac Kilt     Loc Lac Boots
  4: Hunter's Cap     Hunter's Vest     Yukumo Kote     Hunter's Faulds     Hunter's Greaves
  5: Yukumo Kasa     Yukumo Dogi     Alloy Vambraces     Hunter's Coat     Hunter's Leggings
  6: Alloy Helm     Alloy Mail     Alloy Guards     Yukumo Obi     Yukumo Hakama
  7: Alloy Cap     Alloy Vest     Bone Vambraces     Alloy Coil     Alloy Greaves
  8: Bone Helm     Bone Mail     Bone Guards     Alloy Coat     Alloy Leggings
  9: Bone Cap     Bone Vest     Bnahabra Glove     Bone Faulds     Bone Greaves
 10: Bnahabra Hat     Bnahabra Suit     Bnahabra Cuffs     Bone Coat     Bone Leggings
 11: Bnahabra Cap     Bnahabra Vest     Rhenoplos Vambraces     Bnahabra Coil     Bnahabra Boots
 12: Rhenoplos Helm     Rhenoplos Mail     Rhenoplos Guards     Bnahabra Coat     Bnahabra Pants
 13: Rhenoplos Cap     Rhenoplos Vest     Jaggi Vambraces     Rhenoplos Coil     Rhenoplos Greaves
 14: Jaggi Helm     Jaggi Mail     Jaggi Guards     Rhenoplos Coat     Rhenoplos Leggings
 15: Jaggi Cap     Jaggi Vest     Aoashira Vambraces     Jaggi Faulds     Jaggi Greaves
 16: Aoashira Helm     Aoashira Mail     Aoashira Guards     Jaggi Coat     Jaggi Leggings
 17: Aoashira Cap     Aoashira Vest     Froggi Vambraces     Aoashira Faulds     Aoashira Greaves
 18: Froggi Helm     Froggi Mail     Froggi Guards     Aoashira Coat     Aoashira Leggings
 19: Froggi Cap     Froggi Vest     Qurupeco Vambraces     Froggi Faulds     Froggi Greaves
 20: Qurupeco Helm     Qurupeco Mail     Qurupeco Guards     Froggi Coat     Froggi Leggings
 21: Qurupeco Cap     Qurupeco Vest     Ludroth Vambraces     Qurupeco Coil     Qurupeco Greaves
 22: Ludroth Helm     Ludroth Mail     Ludroth Guards     Qurupeco Coat     Qurupeco Leggings
 23: Ludroth Cap     Ludroth Vest     Baggi Vambraces     Ludroth Faulds     Ludroth Greaves
 24: Baggi Helm     Baggi Mail     Baggi Guards     Ludroth Coat     Ludroth Leggings
 25: Baggi Cap     Baggi Vest     Urkusus Vambraces     Baggi Coil     Baggi Greaves
 26: Urkusus Helm     Urkusus Mail     Urkusus Guards     Baggi Coat     Baggi Leggings
 27: Urkusus Cap     Urkusus Vest     Barroth Vambraces     Urkusus Faulds     Urkusus Greaves
 28: Barroth Helm     Barroth Mail     Barroth Guards     Urkusus Coat     Urkusus Leggings
 29: Barroth Cap     Barroth Vest     Ranguro Vambraces     Barroth Faulds     Barroth Greaves
 30: Ranguro Helm     Ranguro Mail     Ranguro Guards     Barroth Coat     Barroth Leggings
 31: Ranguro Cap     Ranguro Vest     Gobul Vambraces     Ranguro Faulds     Ranguro Greaves
 32: Gobul Helm     Gobul Mail     Gobul Guards     Ranguro Coat     Ranguro Leggings
 33: Gobul Cap     Gobul Vest     Rathian Vambraces     Gobul Faulds     Gobul Greaves
 34: Rathian Helm     Rathian Mail     Rathian Guards     Gobul Coat     Gobul Leggings
 35: Rathian Cap     Rathian Vest     Gigginox Vambraces     Rathian Faulds     Rathian Greaves
 36: Gigginox Helm     Gigginox Mail     Gigginox Guards     Rathian Coat     Rathian Leggings
 37: Gigginox Cap     Gigginox Vest     Ingot Vambraces     Gigginox Faulds     Gigginox Greaves
 38: Ingot Helm     Ingot Mail     Ingot Guards     Gigginox Coat     Gigginox Leggings
 39: Ingot Cap     Ingot Vest     Barioth Vambraces     Ingot Coil     Ingot Greaves
 40: Barioth Helm     Barioth Mail     Barioth Guards     Ingot Coat     Ingot Leggings
 41: Barioth Cap     Barioth Vest     Hapul Vambraces     Barioth Faulds     Barioth Greaves
 42: Hapul Helm     Hapul Mail     Hapul Guards     Barioth Coat     Barioth Leggings
 43: Hapul Cap     Hapul Vest     Guild Bard Braces/Scholar's Gloves     Hapul Faulds     Hapul Greaves
 44: Guild Bard Lobos/Scholar's Beret     Guild Bard Bolero/Scholar's Blouse     Guild Bard Sleeves/Scholar's Sleeves     Hapul Coat     Hapul Leggings
 45: Guild Bard Hat/Scholar's Cap     Guild Bard Vest/Scholar's Vest     Lagiacrus Vambraces     Guild Bard Coil/Scholar's Skirt     Guild Bard Boots/Scholar's Socks
 46: Lagiacrus Helm     Lagiacrus Mail     Lagiacrus Guards     Guild Bard Coat/Scholar's Mini     Guild Bard Gaiters/Scholar's Sandals
 47: Lagiacrus Cap     Lagiacrus Vest     Rathalos Vambraces     Lagiacrus Faulds     Lagiacrus Greaves
 48: Rathalos Helm     Rathalos Mail     Rathalos Guards     Lagiacrus Coat     Lagiacrus Leggings
 49: Rathalos Cap     Rathalos Vest     Dobol Vambraces     Rathalos Faulds     Rathalos Greaves
 50: Dobol Helm     Dobol Mail     Dobol Guards     Rathalos Coat     Rathalos Leggings
 51: Dobol Cap     Dobol Vest     Diablos Vambraces     Dobol Faulds     Dobol Greaves
 52: Diablos Helm     Diablos Mail     Diablos Guards     Dobol Coat     Dobol Leggings
 53: Diablos Cap     Diablos Vest     Uragaan Vambraces     Diablos Faulds     Diablos Greaves
 54: Uragaan Helm     Uragaan Mail     Uragaan Guards     Diablos Coat     Diablos Leggings
 55: Uragaan Cap     Uragaan Vest     Agnaktor Vambraces     Uragaan Faulds     Uragaan Greaves
 56: Agnaktor Helm     Agnaktor Mail     Agnaktor Guards     Uragaan Coat     Uragaan Leggings
 57: Agnaktor Cap     Agnaktor Vest     Helios Vambraces/Selene Vambraces     Agnaktor Faulds     Agnaktor Greaves
 58: Helios Helm/Selene Helm     Helios Mail/Selene Mail     Helios Guards/Selene Guards     Agnaktor Coat     Agnaktor Leggings
 59: Helios Cap/Selene Cap     Helios Vest/Selene Vest     Leather S Vambraces     Helios Coil/Selene Coil     Helios Greaves/Selene Greaves
 60: Leather S Helm     Leather S Mail     Leather S Guards     Helios Coat/Selene Coat     Helios Leggings/Selene Leggings
