  0: Antidote Jewel       Poison +1, Stun -1
  1: Antidote Jewel       Poison +3, Stun -1
  2: Paralysis Jewel      Paralysis +1, Poison -1
  3: Paralysis Jewel      Paralysis +3, Poison -1
  4: Pep Jewel            Sleep +1, Mud/Snow -1
  5: Pep Jewel            Sleep +3, Mud/Snow -1
  6: Steadfast Jewel      Stun +1, Paralysis -1
  7: Steadfast Jewel+     Stun +2
  8: AntiStick Jewel      Mud/Snow +1, Sleep -1
  9: AntiStick Jewel+     Mud/Snow +2
 10: Antisept Jewel       Antiseptic +1, Sense -1
 11: Antisept Jewel+      Antiseptic +2
 12: Solid Jewel          Solid Def +2
 13: Dung Jewel           Dungmaster +2
 14: Germ Sci Jewel       Germ Sci +1, Sense -1
 15: GermStudy Jewel      Germ Sci +2
 16: Attack Jewel         Attack +1
 17: Attack Jewel         Attack +3, Defense -1
 18: Attack Jewel         Attack +5, Defense -1
 19: Defense Jewel        Defense +1, Attack -1
 20: Defense Jewel        Defense +3, Attack -1
 21: Vitality Jewel       Health +2
 22: Recovery Jewel       Rec Speed +1, Eating -1
 23: Recovery Jewel       Rec Speed +3, Eating -1
 24: Protection Jewel     Protection +1
 25: Asylum Jewel         Protection +2
 26: Sheathe Jewel        Sheathe +1, Sharpener -1
 27: Sheathe Jewel        Sheathe +3, Sharpener -1
 28: Charger Jewel        FastCharge +1, Constitutn -1
 29: Charger Jewel        FastCharge +4, Constitutn -2
 30: Expert Jewel         Expert +1, Dragon Res -1
 31: Expert Jewel         Expert +3, Dragon Res -1
 32: Expert Jewel         Expert +5, Dragon Res -1
 33: Blow Jewel           Blow +1, Health -1
 34: Blow Jewel           Blow +4, Health -2
 35: Bash Jewel           Bash +1, Expert -1
 36: Bash Jewel           Bash +4, Expert -2
 37: KO Jewel             KO +1, FastCharge -1
 38: KO Jewel             KO +3, FastCharge -1
 39: Exhaust Jewel        Exhaust +1, Stamina -1
 40: Exhaust Jewel        Exhaust +3, Stamina -1
 41: Physique Jewel       Constitutn +1, Stamina -1
 42: Physique Jewel       Constitutn +3, Stamina -1
 43: Earplug Jewel        Hearing +1, Protection -1
 44: Earplug Jewel        Hearing +4, Protection -2
 45: Anti-Wind Jewel      Wind Res +1, Fate -1
 46: Anti-Wind Jewel      Wind Res +3, Fate -1
 47: Footing Jewel        Tremor Res +1, Sleep -1
 48: Footing Jewel+       Tremor Res +2
 49: Breeze Jewel         Heat Res +2
 50: Warmth Jewel         Cold Res +2
 51: Sprinter Jewel       Stamina +1, Hunger -1
 52: Sprinter Jewel       Stamina +4, Hunger -2
 53: Stamina Jewel        StaminaRec +1, Evasion -1
 54: Stamina Jewel        StaminaRec +3, Evasion -1
 55: Evade Jewel          Evasion +1, Health -1
 56: Evade Jewel          Evasion +3, Health -1
 57: Jumping Jewel        Evade Dist +1, Health -1
 58: Sliding Jewel        Dive Dist +1, Constitutn -1
 59: Gliding Jewel        Dive Dist +2
 60: Ninja Jewel          Sense +2
 61: Iron Wall Jewel      Guard +1, Constitutn -1
 62: Iron Wall Jewel      Guard +3, Constitutn -1
 63: Shield Jewel         Guard Up +1, Stamina -1
 64: Shield Jewel         Guard Up +3, Stamina -1
 65: Disabler Jewel       Status +1, Elemental -1
 66: Disabler Jewel       Status +3, Elemental -1
 67: Flame Jewel          Fire Atk +1, Water Atk -1
 68: Flame Jewel          Fire Atk +3, Water Atk -1
 69: Stream Jewel         Water Atk +1, ThunderAtk -1
 70: Stream Jewel         Water Atk +3, ThunderAtk -1
 71: Lightning Jewel      ThunderAtk +1, Ice Atk -1
 72: Lightning Jewel      ThunderAtk +3, Ice Atk -1
 73: Fleezing Jewel       Ice Atk +1, Fire Atk -1
 74: Fleezing Jewel       Ice Atk +3, Fire Atk -1
 75: Dragonfell Jewel     Dragon Atk +1, Status -1
 76: Dragonfell Jewel     Dragon Atk +3, Status -1
 77: Element Jewel        Elemental +1, Status -1
 78: Element Jewel        Elemental +4, Status -2
 79: Fire Res Jewel       Fire Res +1, Water Res -1
 80: Fire Res Jewel+      Fire Res +2
 81: Water Res Jewel      Water Res +1, ThunderRes -1
 82: Water Res Jewel+     Water Res +2
 83: ThundrRes Jewel      ThunderRes +1, Ice Res -1
 84: ThundrRes Jewel+     ThunderRes +2
 85: Ice Res Jewel        Ice Res +1, Fire Res -1
 86: Ice Res Jewel+       Ice Res +2
 87: DragonRes Jewel      Dragon Res +1, Poison -1
 88: DragonRes Jewel+     Dragon Res +2
 89: Razor Jewel          Sharpness +1, Handicraft -1
 90: Razor Jewel          Sharpness +4, Handicraft -2
 91: Handicraft Jewel     Handicraft +1, Sharpness -1
 92: Handicraft Jewel     Handicraft +2, Sharpness -2
 93: Fencer Jewel         Fencing +1, Handicraft -1
 94: Fencer Jewel         Fencing +4, Handicraft -2
 95: Grinder Jewel        Sharpener +2
 96: Draw Jewel           Crit Draw +1, Expert -1
 97: Draw Jewel           Crit Draw +3, Expert -1
 98: Gambit Jewel         PunishDraw +1, Sharpness -1
 99: Gambit Jewel         PunishDraw +4, Sharpness -2
100: Quickload Jewel      Reload Spd +1, Recoil -1
