Antidote Jewel : Aquaglow Jewel x1, Wroggi Hide x2 : 水光原珠 x1, フロギィの皮 x2
Antidote Jewel : Aquaglow Jewel x1, G.Wroggi Brace x2, Screamer x2 : 水光原珠 x1, 毒狗竜の腕甲 x2, 鳴き袋 x2
Paralysis Jwl : Aquaglow Jewel x1, Bnahabra Shell x2 : 水光原珠 x1, 飛甲虫の甲殻 x2
Paralysis Jwl : Sunspire Jewel x1, Volvidon Claw x2, Monster Fluid x2 : 陽翔原珠 x1, 赤甲獣の爪 x2, モンスターの体液 x2
Pep Jewel : Aquaglow Jewel x1, Baggi Hide x2 : 水光原珠 x1, バギィの皮 x2
Pep Jewel : Sunspire Jewel x1, King's Crest x1, Warm Pelt x2 : 陽翔原珠 x1, 王者のトサカ x1, 暖かい毛皮 x2
Steadfast Jwl : Aquaglow Jewel x1, Bird Wyvern Fang x3 : 水光原珠 x1, 鳥竜種の牙 x3
Standfast Jwl : Sunspire Jewel x1, King's Frill x1, Arzuros Pelt x2 : 陽翔原珠 x1, 王者のエリマキ x1, 青熊獣の毛 x2
Tracker Jewel : Aquaglow Jewel x1, Phenoplos Shell x2 : 水光原珠 x1, 草食竜の甲殻 x2
Trekker Jewel : Sunspire Jewel x1, Volvi Rickrack x1, Pelagicite Ore x2 : 陽翔原珠 x1, 赤甲獣の蛇腹甲 x1, シーブライト鉱石 x2
Sterile Jewel : Aquaglow Jewel x1, Hydro Hide x2 : 水光原珠 x1, 水生獣の皮 x2
Aseptic Jewel : Sunspire Jewel x1, Spongy Hide x1, Earth Crystal x2 :  陽翔原珠 x1, 海綿質の皮 x1, 大地の結晶 x2
Def Lock Jewel : Aquaglow Jewel x1, Adamant Seed x2, Catalyst x2 : 水光原珠 x1, 忍耐の種 x2, 増強剤 x2
Dungmaster Jwl : Aquaglow Jewel x1, Dung Bomb x2 : 水光原珠 x1, こやし玉 x2
Biology Jewel : Adamant Orb x1, Volvidon Talon x2 : 金剛原珠 x1, 赤甲獣の剛爪 x2
Microbio Jewel : Adamant Orb x1, Volvidon Talon x1, Brach Ebonshell+ x1 : 金剛原珠 x1, 赤甲獣の剛爪 x4, 砕竜の重黒曜甲 x1
Attack Jewel : Aquaglow Jewel x1, Jaggi Scale x2, Might Seed x1 : 水光原珠 x1, ジャギィの鱗 x2, 怪力の種 x1
Attack Jewel : Sunspire Jewel x1, Rath Talon x2, Demondrug x1 : 陽翔原珠 x1, 火竜の翼爪 x2, 鬼人薬 x1
Attack Jewel : Bloodrun Jewel x1, Barioth Claw+ x1, Mega Demondrug x2 : 修羅原珠 x1, 氷牙竜の鋭爪 x1, 鬼人薬グレート x2
Defense Jewel : Aquaglow Jewel x1, Arzuros Shell x1, Adamant Seed x2 : 水光原珠 x1, 青熊獣の甲殻 x1, 忍耐の種 x2
Defense Jewel : Sunspire Jewel x1, Uragaan Shell x2, Armorskin x2 : 陽翔原珠 x1, 爆鎚竜の甲殻 x2, 硬化薬 x2
Vitality Jewel : Aquaglow Jewel x1, Dragon Toadstool x2 : 水光原珠 x1, マンドラゴラ x2
Recovery Jewel : Aquaglow Jewel x1, Jaggi Hide x2 : 水光原珠 x1, ジャギィの皮 x2
Recovery Jewel : Sunspire Jewel x1, Gigginox Hide x1, Pale Extract x2 : 陽翔原珠 x1, 毒怪竜の皮 x1, アルビノエキス x2
Protection Jwl : Sunspire Jewel x1, Rathian Shell x2 : 陽翔原珠 x1, 雌火竜の甲殻 x2
Asylum Jewel : Lazurite Jewel x1, P.Rath Carapace x2, Commendation x1 : 瑠璃原珠 x1, 桜火竜の堅殻 x2, 勇気の証 x1
Sheath Jewel : Aquaglow Jewel x1, Humspun Conch x1, Altaroth Stomach x1 : 水光原珠 x1, うなりうねり貝 x1, 甲虫の腹袋 x1
Sheath Jewel : Bloodrun Jewel x1, Diablos Carapace x1, Quality Sac x2 : 修羅原珠 x1, 角竜の堅殻 x1, 上質な腹袋 x2
Charger Jewel : Sunspire Jewel x1, Nibelsnarf Claw x1, Barroth Ridge x2 : 陽翔原珠 x1, 潜口竜の爪 x1, 土砂竜の背甲 x2
Charger Jewel : Lazurite Jewel x1, Mohran Carapace x1, S.Bari Carapace x2 : 瑠璃原珠 x1, 峯山龍の堅岩殻 x1, 風牙竜の堅殻 x2
Expert Jewel : Aquaglow Jewel x1, Sharpened Fang x2, Iron Ore x1 : 水光原珠 x1, とがった牙 x2, 鉄鉱石 x1
Expert Jewel : Sunspire Jewel x1, Rathalos Tail x1, G.Baggi Claw x2 : 陽翔原珠 x1, 火竜の尻尾 x1, 眠狗竜の爪 x2
Expert Jewel : Lazurite Jewel x1, I.Lagi Hide+ x1, Nibel Carapace x2 : 瑠璃原珠 x1, 白海竜の上皮 x1, 潜口竜の堅殻 x2
Tenderizer Jwl : Sunspire Jewel x1, Rathalos Webbing x1, Rathian Spike x1 : 陽翔原珠 x1, 火竜の翼膜 x1, 雌火竜の棘 x1
Tenderizer Jwl : Lazurite Jewel x1, Deviljho Fang x1, Rathalos Ruby x1 : 瑠璃原珠 x1, 恐暴竜の大牙 x1, 火竜の紅玉 x1
Destroyer Jwl : Sunspire Jewel x1, Duramboros Hump x1, Duramboros Shell x2 : 陽翔原珠 x1, 尾槌竜のコブ x1, 尾槌竜の甲殻 x2
Destroyer Jwl : Lazurite Jewel x1, Mohran Brace+ x1, Rathian Ruby x1 : 瑠璃原珠 x1, 峯山龍の上腕甲 x1, 雌火竜の紅玉 x1
KO Jewel : Sunspire Jewel x1, Monster Bone+ x2, Rhenoplos Scalp x1 : 陽翔原珠 x1, 上竜骨 x2, 草食竜の頭殻 x1
