Vitality Jewel :  1 Aquaglow Jewel, 1 Bulldrome Hide
Recovery Jewel :  1 Aquaglow Jewel, 2 Jaggi Hide
Recovery Jewel :  1 Sunspire Jewel, 1 Gigginox Hide, 2 Pale Extract
Medicine Jewel :  1 Sunspire Jewel, 1 Qurupeco Scale, 2 Kelbi Horn
Medicine Jewel :  1 Bloodrun Jewel, 1 Qurupeco Scale+, 1 Ancient Potion
Sprinter Jewel :  1 Sunspire Jewel, 1 R.Ludroth Claw, 2 Meag Dash Juice
Sprinter Jewel :  1 Lazurite Jewel, 1 Green Narga Scl, 2 Spongy Hide+
Physique Jewel :  1 Sunspire Jewel, 1 King's Break, 2 Froggi Scale
Physique Jewel :  1 Lazurite Jewel, 1 Agnaktor Fin+, 2 Great Frggi Hide+
Stamina Jewel :  1 Sunspire Jewel, 1 Narga Scale, 2 Monster Bone M
Stamina Jewel :  1 Bloodrun Jewel, 1 Nargacuga Fang+, 2 Sharp Bone
Hungerless Jewel :  1 Aquaglow Jewel, 1 Bulldrome Tusk, 1 Well-Done Steak
Metabolism Jewel :  1 Aquaglow Jewel, 1 Giant Bone
Attack Jewel :  1 Aquaglow Jewel, 2 Jaggi Scale, 1 Might Seed
Attack Jewel :  1 Sunspire Jewel, 2 Rath Talon, 1 Demondrug
Attack Jewel :  1 Bloodrun Jewel, 1 Barioth Claw+, 2 Mega Demondrug
Expert Jewel :  1 Aquaglow Jewel, 2 Sharpened Fang, 1 Iron Ore
Expert Jewel :  1 Sunspire Jewel, 1 Nargacuga Wing, 2 Great Baggi Claw
Expert Jewel :  1 Lazurite Jewel, 1 Akantor Spike, 2 Hapul Carapace
Disabler Jewel :  1 Sunspire Jewel, 3 Bnahabra Wing, 2 Bnahabra Stinger
Disabler Jewel :  1 Bloodrun Jewel, 1 Gigginox Claw+, 2 Monster Broth
Element Jewel :  1 Bloodrun Jewel, 2 Alatreon Shell
Element Jewel :  1 Lazurite Jewel, 2 Alatreon Claw, 1 Jinouga Conductor+
Flame Jewel :  1 Sunspire Jewel, 2 Rathian Scale
Flame Jewel :  1 Bloodrun Jewel, 1 Inferno Sac, 2 Rangurotora Carapac
Stream Jewel :  1 Sunspire Jewel, 1 R.Ludroth Crest
Stream Jewel :  1 Bloodrun Jewel, 1 Iridescent Fluid, 2 Prple Ludroth Scl
Lightning Jewel :  1 Sunspire Jewel, 1 Gigginox Claw, 2 Thunderbug
Lightning Jewel :  1 Bloodrun Jewel, 1 Thunder Sac, 2 Red Qurpeco Scl
Fleezing Jewel :  1 Sunspire Jewel, 2 Great Baggi Hide
Fleezing Jewel :  1 Bloodrun Jewel, 1 Frzn Mucous Ball, 2 Urkusus Belly+
Dragonfell Jewel :  1 Sunspire Jewel, 2 Mohran Scale
Dragonfell Jewel :  1 Bloodrun Jewel, 2 Drgonbone Relic, 2 Rathalos Carpce
