Piscine Mask :  2 Kelbi Horn, 2 Airweed, 2 Waterblock Seed
Piscine Belt :  2 Hydro Hide, 2 Broken Shell
Piscine Leggings :  2 Hydro Hide, 1 Big Fin
Leather Headgear :  1 Warm Pelt
Leather Vest :  1 Warm Pelt
Leather Gloves :  1 Warm Pelt
Leather Belt :  1 Warm Pelt
Leather Pants :  1 Warm Pelt
Chainmail Headgear :  1 Iron Ore, 1 Whetstone
Chainmail Vest :  1 Iron Ore, 1 Warm Pelt
Chainmail Gloves :  1 Iron Ore, 1 Whetstone
Chainmail Belt :  1 Iron Ore, 1 Earth Crystal
Chainmail Pants :  1 Iron Ore, 1 Warm Pelt
Loc Lac Shawl :  1 Velvety Hide, 1 Altaroth Stomach, 3 Jaggi Hide
Loc Lac Kilt :  1 Velvety Hide, 2 Altaroth Stomach, 5 Jaggi Scale
Loc Lac Boots :  2 Velvety Hide, 1 Altaroth Stomach, 2 Monster Fluid
Hunter's Helm :  2 Earth Crystal, 1 Iron Ore, 1 Ice Crystal
Hunter's Mail :  2 Iron Ore, 2 Jaggi Scale
Hunter's Vambraces :  1 Earth Crystal, 1 Iron Ore, 2 Jaggi Scale
Hunter's Faulds :  2 Iron Ore, 2 Warm Pelt, 1 Ice Crystal
Hunter's Greaves :  2 Earth Crystal, 1 Iron Ore, 3 Monster Bone S
Hunter's Cap :  2 Earth Crystal, 1 Iron Ore, 1 Ice Crystal
Hunter's Vest :  2 Iron Ore, 2 Jaggi Scale
Hunter's Guards :  1 Earth Crystal, 1 Iron Ore, 2 Jaggi Scale
Hunter's Coat :  2 Iron Ore, 2 Warm Pelt, 1 Ice Crystal
Hunter's Leggings :  2 Earth Crystal, 1 Iron Ore, 3 Monster Bone S
Bone Helm :  1 Unknown Skull, 3 Sharpened Fang, 5 Bone
Bone Mail :  1 Monster Bone S, 3 Mystery Bone, 3 Gluehopper
Bone Vambraces :  2 Monster Bone S, 2 Mystery Bone, 2 Gluehopper
Bone Faulds :  1 Unknown Skull, 2 Sharpened Fang, 5 Bone Husk S
Bone Greaves :  2 Monster Bone S, 2 Bone, 2 Gluehopper
Bone Cap :  1 Unknown Skull, 3 Sharpened Fang, 5 Bone
Bone Vest :  1 Monster Bone S, 3 Mystery Bone, 3 Gluehopper
Bone Guards :  2 Monster Bone S, 2 Mystery Bone, 2 Gluehopper
Bone Coat :  1 Unknown Skull, 2 Sharpened Fang, 5 Bone Husk S
Bone Leggings :  2 Monster Bone S, 2 Bone, 2 Gluehopper
Alloy Helm :  3 Machalite Ore, 5 Earth Crystal, 3 Ice Crystal
Alloy Mail :  3 Machalite Ore, 10 Iron Ore, 2 Gluehopper
Alloy Vambraces :  2 Machalite Ore, 5 Earth Crystal, 2 Gluehopper
Alloy Coil :  2 Machalite Ore, 10 Iron Ore, 1 Gluehopper
Alloy Greaves :  6 Machalite Ore, 10 Earth Crystal, 5 Ice Crystal, 3 Gluehopper
Alloy Cap :  3 Machalite Ore, 5 Earth Crystal, 3 Ice Crystal
Alloy Vest :  3 Machalite Ore, 10 Iron Ore, 2 Gluehopper
Alloy Guards :  2 Machalite Ore, 5 Earth Crystal, 2 Gluehopper
Alloy Coat :  2 Machalite Ore, 10 Iron Ore, 1 Gluehopper
Alloy Leggings :  6 Machalite Ore, 10 Earth Crystal, 5 Ice Crystal, 3 Gluehopper
Jaggi Helm :  2 Great Jaggi Claw, 3 Jaggi Hide, 1 Machalite Ore
Jaggi Mail :  2 Great Jaggi Hide, 1 King's Frill, 3 Iron Ore, 3 Bird Wyvern Fang
Jaggi Vambraces :  4 Jaggi Hide, 4 Jaggi Scale, 3 Machalite Ore, 5 Bird Wyvern Fang
Jaggi Faulds :  2 Great Jaggi Hide, 1 Great Jaggi Claw, 3 Jaggi Scale, 3 Monster Bone S
Jaggi Greaves :  1 Great Jaggi Hide, 1 Great Jaggi Claw, 4 Iron Ore, 1 Earth Crystal
Jaggi Cap :  2 Great Jaggi Claw, 3 Jaggi Hide, 1 Machalite Ore
Jaggi Vest :  2 Great Jaggi Hide, 1 King's Frill, 3 Iron Ore, 3 Bird Wyvern Fang
Jaggi Guards :  4 Jaggi Hide, 4 Jaggi Scale, 3 Machalite Ore, 5 Bird Wyvern Fang
Jaggi Coat :  2 Great Jaggi Hide, 1 Great Jaggi Claw, 3 Jaggi Scale, 3 Monster Bone S
Jaggi Leggings :  1 Great Jaggi Hide, 1 Great Jaggi Claw, 4 Iron Ore, 1 Earth Crystal
Bnahabra Suit :  4 Bnahabra Wing, 2 Altaroth Jaw, 3 Velvety Hide, 2 Killer Beetle
Bnahabra Coil :  4 Bnahabra Wing, 3 Bnahabra Shell, 3 Killer Beetle, 3 Monster Fluid
Bnahabra Boots :  3 Bnahabra Shell, 2 Bnahabra Wing, 2 Killer Beetle, 3 Monster Fluid
Bnahabra Vest :  4 Bnahabra Wing, 2 Altaroth Jaw, 3 Velvety Hide, 2 Killer Beetle
Bnahabra Coat :  4 Bnahabra Wing, 3 Bnahabra Shell, 3 Killer Beetle, 3 Monster Fluid
Bnahabra Pants :  3 Bnahabra Shell, 2 Bnahabra Wing, 2 Killer Beetle, 3 Monster Fluid
Rhenoplos Helm :  2 Rhenoplos Scalp, 3 Rhenoplos Shell, 1 King's Frill
Rhenoplos Mail :  3 Rhenoplos Shell, 3 Pelagicite Ore, 10 Iron Ore
Rhenoplos Vambraces :  2 Rhenoplos Shell, 1 King's Frill, 5 Earth Crystal
Rhenoplos Coil :  2 Rhenoplos Shell, 2 Great Jaggi Hide, 5 Earth Crystal
Rhenoplos Greaves :  1 Rhenoplos Shell, 2 Pelagicite Ore, 10 Iron Ore
Rhenoplos Cap :  2 Rhenoplos Scalp, 3 Rhenoplos Shell, 1 King's Frill
Rhenoplos Vest :  3 Rhenoplos Shell, 3 Pelagicite Ore, 10 Iron Ore
Rhenoplos Guards :  2 Rhenoplos Shell, 1 King's Frill, 5 Earth Crystal
Rhenoplos Coat :  2 Rhenoplos Shell, 2 Great Jaggi Hide, 5 Earth Crystal
Rhenoplos Leggings :  1 Rhenoplos Shell, 2 Pelagicite Ore, 10 Iron Ore
Qurupeco Helm :  2 Strange Beak, 3 Qurupeco Feather, 4 Qurupeco Scale
Qurupeco Mail :  1 Vivid Feather, 3 Qurupeco Feather, 3 Qurupeco Scale
Qurupeco Vambraces :  3 Qurupeco Scale, 3 Qurupeco Feather, 1 Flintstone
Qurupeco Coil :  3 Qurupeco Feather, 4 Qurupeco Scale, 3 Monster Bone M
Qurupeco Greaves :  3 Qurupeco Scale, 3 Qurupeco Feather, 3 Monster Bone M
Qurupeco Cap :  2 Strange Beak, 3 Qurupeco Feather, 4 Qurupeco Scale
Qurupeco Vest :  1 Vivid Feather, 3 Qurupeco Feather, 3 Qurupeco Scale
Qurupeco Guards :  3 Qurupeco Scale, 3 Qurupeco Feather, 1 Flintstone
Qurupeco Coat :  3 Qurupeco Feather, 4 Qurupeco Scale, 3 Monster Bone M
Qurupeco Leggings :  3 Qurupeco Scale, 3 Qurupeco Feather, 3 Monster Bone M
Ludroth Helm :  2 R.Ludroth Crest, 2 Spongy Hide, 2 R.Ludroth Scale, 3 Immature Sponge
Ludroth Mail :  2 R.Ludroth Claw, 2 Spongy Hide, 5 R.Ludroth Scale, 3 Hydro Hide
Ludroth Vambraces :  2 R.Ludroth Claw, 3 Spongy Hide, 3 Immature Sponge, 3 Hydro Hide
Ludroth Faulds :  3 R.Ludroth Scale, 1 Quality Sponge, 2 Spongy Hide, 3 Hydro Hide
Ludroth Greaves :  5 Immature Sponge, 5 Hydro Hide, 7 Monster Bone S
Ludroth Cap :  2 R.Ludroth Crest, 2 Spongy Hide, 2 R.Ludroth Scale, 3 Immature Sponge
Ludroth Vest :  2 R.Ludroth Claw, 2 Spongy Hide, 5 R.Ludroth Scale, 3 Hydro Hide
Ludroth Guards :  2 R.Ludroth Claw, 3 Spongy Hide, 3 Immature Sponge, 3 Hydro Hide
Ludroth Coat :  3 R.Ludroth Scale, 1 Quality Sponge, 2 Spongy Hide, 3 Hydro Hide
Ludroth Leggings :  5 Immature Sponge, 5 Hydro Hide, 7 Monster Bone S
Steel Mail :  3 Lightcrystal, 22 Iron Ore, 3 Isisium, 4 Pelagicite Ore
Steel Vambraces :  2 Lightcrystal, 10 Iron Ore, 5 Isisium, 2 Pelagicite Ore
Steel Faulds :  2 Lightcrystal, 10 Iron Ore, 5 Isisium, 2 Pelagicite Ore
Baggi Helm :  3 Baggi Hide, 2 Great Baggi Claw, 1 Sleep Sac, 5 Ice Crystal
Baggi Mail :  2 Leader's Crest, 2 Baggi Hide, 3 Baggi Scale, 2 Isisium
