Leather Headgear : Warm Pelt x1, Iron Ore x1 : 1 暖かい毛皮, 1 鉄鉱石
Leather Vest : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Gloves : Warm Pelt x2 : 2 暖かい毛皮
Leather Belt : Bullfango Pelt x1, Iron Ore x1 : 1 ファンゴの毛皮, 1 鉄鉱石
Leather Pants : Warm Pelt x2 : 2 暖かい毛皮
Piscine Mask : Kelbi Horn x2, Airweed x2, Mystery Bone x2 : 2 ケルビの角, 2 イキツギ藻, 2 なぞの骨
Piscine Belt : Hydro Hide x2, Broken Shell x2 : 2 水生獣の皮, 2 欠けた貝殻
Piscine Breeches : Hydro Hide x2, Big Fin x1 : 2 水生獣の皮, 1 大きなヒレ
Chainmail Headgear : Earth Crystal x1, Iron Ore x1 : 1 大地の結晶, 1 鉄鉱石
Chainmail Vest : Iron Ore x2, Warm Pelt x1 : 2 鉄鉱石, 1 暖かい毛皮
Chainmail Gloves : Iron Ore x1, Whetstone x2 : 1 鉄鉱石, 2 砥石
Chainmail Belt : Iron Ore x1, Warm Pelt x2 : 1 鉄鉱石, 2 暖かい毛皮
Chainmail Pants : Iron Ore x2, Warm Pelt x2 : 2 鉄鉱石, 2 暖かい毛皮
Loc Lac Shawl : Altaroth Stomach x1, Monster Fluid x3, Ice Crystal x3 : 1 甲虫の腹袋, 3 モンスターの体液, 3 氷結晶
Loc Lac Kilt : Altaroth Stomach x2, Altaroth Jaw x2, Ice Crystal x3 : 2 甲虫の腹袋, 2 甲虫の大顎, 3 氷結晶
Loc Lac Boots : Altaroth Jaw x3, Altaroth Stomach x2, Ice Crystal x3 : 3 甲虫の大顎, 2 甲虫の腹袋, 3 氷結晶
Hunter's Helm : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Mail : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Vambraces : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Faulds : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Greaves : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Hunter's Cap : Machalite Ore x1, Iron Ore x1, Carpenterbug x2 : 1 マカライト鉱石, 1 鉄鉱石, 2 セッチャクロアリ
Hunter's Vest : Iron Ore x2, Jaggi Scale x1, Monster Bone S x2 : 2 鉄鉱石, 1 ジャギィの鱗, 2 竜骨【小】
Hunter's Guards : Earth Crystal x1, Jaggi Scale x2, Ivy x1 : 1 大地の結晶, 2 ジャギィの鱗, 1 ツタの葉
Hunter's Coat : Machalite Ore x2, Iron Ore x1, Carpenterbug x1 : 2 マカライト鉱石, 1 鉄鉱石, 1 セッチャクロアリ
Hunter's Leggings : Iron Ore x1, Earth Crystal x1, Monster Bone S x2 : 1 鉄鉱石, 1 大地の結晶, 2 竜骨【小】
Yukumo Kasa : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Dogi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Kote : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Obi : Buy in Tanzia Port (1100z) : ※港店売り
Yukumo Hakama : Buy in Tanzia Port (1100z) : ※港店売り
Alloy Helm : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Vambraces : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Greaves : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : Machalite Ore x3, Pelagicite Ore x2, Iron Ore x2 : 3 マカライト鉱石, 2 シーブライト鉱石, 2 鉄鉱石
Alloy Guards : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : Machalite Ore x2, Pelagicite Ore x2, Iron Ore x3 : 2 マカライト鉱石, 2 シーブライト鉱石, 3 鉄鉱石
Alloy Leggings : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Bone Helm : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Mail : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Vambraces : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Faulds : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Greaves : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bone Cap : Big Fin x3, Unknown Skull x1, Sharpened Fang x2 : 3 大きなヒレ, 1 なぞの頭骨, 2 とがった牙
Bone Vest : Jumbo Bone x1, Mystery Bone x4, Sharpened Fang x2 : 1 大きな骨, 4 なぞの骨, 2 とがった牙
Bone Guards : Monster Bone S x3, Mystery Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 なぞの骨, 2 とがった牙
Bone Coat : Monster Bone S x3, Bone x3, Sharpened Fang x2 : 3 竜骨【小】, 3 棒状の骨, 2 とがった牙
Bone Leggings : Monster Bone M x2, Bone x2, Mystery Bone x4 : 2 竜骨【中】, 2 棒状の骨, 4 なぞの骨
Bnahabra Hat : Bnahabra Shell x2, Bnahabra Wing x3, Killer Beetle x1, Carpenterbug x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 キラビートル, 2 セッチャクロアリ
Bnahabra Suit : Bnahabra Shell x2, Bnahabra Wing x3, Monster Fluid x2, Killer Beetle x1 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 モンスターの体液, 1 キラビートル
Bnahabra Gloves : Bnahabra Wing x3, Bnahabra Shell x2, Bnahabra Spine x2, Killer Beetle x2 : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 5 飛甲虫の麻痺針, 2 キラビートル
Bnahabra Coil : Bnahabra Wing x3, Bnahabra Shell x2, Monster Fluid x1, Killer Beetle x2 : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 1 モンスターの体液, 2 キラビートル
Bnahabra Boots : Bnahabra Shell x2, Bnahabra Wing x3, Killer Beetle x2, Carpenterbug x3 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 キラビートル, 3 セッチャクロアリ
Bnahabra Headpiece : Bnahabra Shell x2, Bnahabra Wing x3, Killer Beetle x1, Carpenterbug x2 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 1 キラビートル, 2 セッチャクロアリ
Bnahabra Vest : Bnahabra Shell x2, Bnahabra Wing x3, Monster Fluid x2, Killer Beetle x1 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 モンスターの体液, 1 キラビートル
Bnahabra Sleeves : Bnahabra Wing x3, Bnahabra Shell x2, Bnahabra Spine x2, Killer Beetle x2 : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 5 飛甲虫の麻痺針, 2 キラビートル
Bnahabra Coat : Bnahabra Wing x3, Bnahabra Shell x2, Monster Fluid x1, Killer Beetle x2 : 3 飛甲虫の羽, 2 飛甲虫の甲殻, 1 モンスターの体液, 2 キラビートル
Bnahabra Pants : Bnahabra Shell x2, Bnahabra Wing x3, Killer Beetle x2, Carpenterbug x3 : 2 飛甲虫の甲殻, 3 飛甲虫の羽, 2 キラビートル, 3 セッチャクロアリ
Rhenoplos Helm : Rhenoplos Scalp x1, Rhenoplos Shell x2, Ice Crystal x2 : 1 草食竜の頭殻, 2 草食竜の甲殻, 2 氷結晶
Rhenoplos Mail : Rhenoplos Scalp x1, Rhenoplos Shell x2, Earth Crystal x2 : 1 草食竜の頭殻, 2 草食竜の甲殻, 2 大地の結晶
Rhenoplos Vambraces : Rhenoplos Shell x2, Monster Bone M x4, Ice Crystal x2 : 2 草食竜の甲殻, 4 竜骨【中】, 2 氷結晶
Rhenoplos Coil : Rhenoplos Shell x2, Rhenoplos Scalp x1, Earth Crystal x2 : 2 草食竜の甲殻, 1 草食竜の頭殻, 2 大地の結晶
Rhenoplos Greaves : Rhenoplos Shell x2, Monster Bone S x6, Ice Crystal x2 : 2 草食竜の甲殻, 6 竜骨【小】, 2 氷結晶
Rhenoplos Cap : Rhenoplos Scalp x1, Rhenoplos Shell x2, Ice Crystal x2 : 1 草食竜の頭殻, 2 草食竜の甲殻, 2 氷結晶
Rhenoplos Vest : Rhenoplos Scalp x1, Rhenoplos Shell x2, Earth Crystal x2 : 1 草食竜の頭殻, 2 草食竜の甲殻, 2 大地の結晶
Rhenoplos Guards : Rhenoplos Shell x2, Monster Bone M x4, Ice Crystal x2 : 2 草食竜の甲殻, 4 竜骨【中】, 2 氷結晶
Rhenoplos Coat : Rhenoplos Shell x2, Rhenoplos Scalp x1, Earth Crystal x2 : 2 草食竜の甲殻, 1 草食竜の頭殻, 2 大地の結晶
Rhenoplos Leggings : Rhenoplos Shell x2, Monster Bone S x6, Ice Crystal x2 : 2 草食竜の甲殻, 6 竜骨【小】, 2 氷結晶
Jaggi Helm : G.Jaggi Hide x3, G.Jaggi Claw x1, Jaggi Scale x2, Iron Ore x3 : 3 狗竜の皮, 1 狗竜の爪, 2 ジャギィの鱗, 3 鉄鉱石
Jaggi Mail : King's Frill x1, G.Jaggi Claw x2, Jaggi Hide x3, Iron Ore x3 : 1 王者のエリマキ, 2 狗竜の爪, 3 ジャギィの皮, 3 鉄鉱石
Jaggi Vambraces : G.Jaggi Claw x2, G.Jaggi Hide x3, Jaggi Scale x2, Earth Crystal x2 : 2 狗竜の爪, 3 狗竜の皮, 2 ジャギィの鱗, 2 大地の結晶
Jaggi Faulds : G.Jaggi Hide x2, King's Frill x1, Jaggi Hide x3, Earth Crystal x1 : 2 狗竜の皮, 1 王者のエリマキ, 3 ジャギィの皮, 1 大地の結晶
Jaggi Greaves : Jaggi Hide x4, Jaggi Scale x3, Monster Bone S x4, Machalite Ore x2 : 4 ジャギィの皮, 3 ジャギィの鱗, 4 竜骨【小】, 2 マカライト鉱石
Jaggi Cap : G.Jaggi Hide x3, G.Jaggi Claw x1, Jaggi Scale x2, Iron Ore x3 : 3 狗竜の皮, 1 狗竜の爪, 2 ジャギィの鱗, 3 鉄鉱石
Jaggi Vest : King's Frill x1, G.Jaggi Claw x2, Jaggi Hide x3, Iron Ore x3 : 1 王者のエリマキ, 2 狗竜の爪, 3 ジャギィの皮, 3 鉄鉱石
Jaggi Guards : G.Jaggi Claw x2, G.Jaggi Hide x3, Jaggi Scale x2, Earth Crystal x2 : 2 狗竜の爪, 3 狗竜の皮, 2 ジャギィの鱗, 2 大地の結晶
Jaggi Coat : G.Jaggi Hide x2, King's Frill x1, Jaggi Hide x3, Earth Crystal x1 : 2 狗竜の皮, 1 王者のエリマキ, 3 ジャギィの皮, 1 大地の結晶
Jaggi Leggings : Jaggi Hide x4, Jaggi Scale x3, Monster Bone S x4, Machalite Ore x2 : 4 ジャギィの皮, 3 ジャギィの鱗, 4 竜骨【小】, 2 マカライト鉱石
Arzuros Helm : Arzuros Shell x2, Arzuros Pelt x2, Jumbo Bone x2, Carpenterbug x3 : 2 青熊獣の甲殻, 2 青熊獣の毛, 2 大きな骨, 3 セッチャクロアリ
Arzuros Mail : Arzuros Pelt x3, Arzuros Shell x1, Bnahabra Shell x2, Flashbug x3 : 3 青熊獣の毛, 1 青熊獣の甲殻, 2 飛甲虫の甲殻, 3 光蟲
Arzuros Vambraces : Arzuros Shell x2, Arzuros Brace x1, Arzuros Pelt x2, Altaroth Stomach x2 : 2 青熊獣の甲殻, 1 青熊獣の腕甲, 2 青熊獣の毛, 2 甲虫の腹袋
Arzuros Faulds : Arzuros Pelt x2, Arzuros Shell x1, Jumbo Bone x1, Carpenterbug x3 : 2 青熊獣の毛, 1 青熊獣の甲殻, 1 大きな骨, 3 セッチャクロアリ
Arzuros Greaves : Arzuros Brace x2, Arzuros Pelt x2, Bnahabra Shell x2, Flashbug x3 : 2 青熊獣の腕甲, 2 青熊獣の毛, 2 飛甲虫の甲殻, 3 光蟲
