Ace Headgear : Beruna Ticket x1,Feroc. Garuga Scale x1,Zinogre Electrofur x3,Elder Dragon Blood x2,###,1 ベルナチケット,1 獰猛化黒狼鳥鱗,3 雷狼竜の高電毛,2 古龍の血
Ace Mask : Beruna Ticket x1,Feroc. Garuga Scale x1,Zinogre Electrofur x3,Elder Dragon Blood x2,###,1 ベルナチケット,1 獰猛化黒狼鳥鱗,3 雷狼竜の高電毛,2 古龍の血
Ace Mail : Beruna Ticket x1,Feroc.Gypceros Hide x1,S.Queen Crescent x2,Elder Dragon Blood x2,###,1 ベルナチケット,1 獰猛化毒怪鳥皮,2 重甲虫の円月尾,2 古龍の血
Ace Vest : Beruna Ticket x1,Feroc.Gypceros Hide x1,S.Queen Crescent x2,Elder Dragon Blood x2,###,1 ベルナチケット,1 獰猛化毒怪鳥皮,2 重甲虫の円月尾,2 古龍の血
Ace Faulds : Beruna Ticket x1,Feroc. White Skin x1,Rathalos Wing x3,Elder Dragon Blood x2,###,1 ベルナチケット,1 獰猛化白柔皮,3 火竜の翼,2 古龍の血
Ace Coat : Beruna Ticket x1,Feroc. White Skin x1,Rathalos Wing x3,Elder Dragon Blood x2,###,1 ベルナチケット,1 獰猛化白柔皮,3 火竜の翼,2 古龍の血
Ace Greaves : Beruna Ticket x1,Feroc. Tetsucabra Scl x1,Gore Magala Wing+ x3,Elder Dragon Blood x2,###,1 ベルナチケット,1 獰猛化鬼蛙鱗,3 黒蝕竜の上暗翼,2 古龍の血
Ace Leggings : Beruna Ticket x1,Feroc. Tetsucabra Scl x1,Gore Magala Wing+ x3,Elder Dragon Blood x2,###,1 ベルナチケット,1 獰猛化鬼蛙鱗,3 黒蝕竜の上暗翼,2 古龍の血
Ace Braces : Beruna Ticket x1,Feroc. Najarala Shl x1,Tigrex Claw+ x3,Elder Dragon Blood x2,###,1 ベルナチケット,1 獰猛化絞蛇竜殻,3 轟竜の尖爪,2 古龍の血
Ace Guards : Beruna Ticket x1,Feroc. Najarala Shl x1,Tigrex Claw+ x3,Elder Dragon Blood x2,###,1 ベルナチケット,1 獰猛化絞蛇竜殻,3 轟竜の尖爪,2 古龍の血
