Antidote Jewel :  2 Antiseptic Stone, 1 Aquaglow Jewel
Antidote Jewel+ :  1 Poison Sac, 1 Sunspire Jewel
Paralysis Jewel :  1 Thunderbug, 1 Aquaglow Jewel
Paralysis Jewel+ :  1 Paralysis Sac, 1 Sunspire Jewel
Pep Jewel :  2 Baggi Hide, 1 Aquaglow Jewel
Pep Jewel+ :  1 Sleep Sac, 1 Sunspire Jewel
Steadfast Jewel :  2 Jaggi Hide, 1 Aquaglow Jewel
Steadfast Jewel+ :  1 Gobul Spike, 1 Sunspire Jewel
Weather Jewel :  1 Rhenoplos Shell, 1 Aquaglow Jewel
Weather Jewel+ :  2 Pelagicite Ore, 1 Aquaglow Jewel
Ninja Jewel :  2 Flabby Hide, 1 Sunspire Jewel
Vitality Jewel :  2 Dragon Toadstool, 1 Aquaglow Jewel
Recovery Jewel :  1 Velvety Hide, 1 Aquaglow Jewel
Resurgence Jewel :  1 Mohran Shell, 2 Sunspire Jewel
Razor Jewel :  2 Bnahabra Wing, 1 Sunspire Jewel
Cutter Jewel :  3 Mohran Scale+, 3 Bloodrun Jewel
Handicraft Jewel :  2 Ceadeus Scale, 1 Sunspire Jewel
Architect Jewel :  1 Deviljho Gem, 3 Lazurite Jewel
Fencer Jewel :  2 Rathalos Scale+, 1 Bloodrun Jewel
Swordsman Jewel :  1 Rath Medulla, 3 Lazurite Jewel
Expert Jewel :  1 Machalite Ore, 1 Aquaglow Jewel
Master Jewel :  2 Rathalos Shell, 2 Sunspire Jewel
Hermit Jewel :  4 RathalosCarapace, 3 Bloodrun Jewel
Grinder Jewel :  1 Great Jaggi Claw, 1 Aquaglow Jewel
Stone Wall Jewel :  1 Barroth Shell, 1 Aquaglow Jewel
Iron Wall Jewel :  3 AgnaktorCarapace, 2 Bloodrun Jewel
Shield Jewel :  1 Firestone, 1 Sunspire Jewel
Aegis Jewel :  2 Firecell Stone, 2 Bloodrun Jewel
Quickload Jewel :  1 Agnaktor Shell, 1 Sunspire Jewel
Flashload Jewel :  3 Agnaktor Hide+, 2 Bloodrun Jewel
Absorber Jewel :  1 Uragaan Shell, 1 Sunspire Jewel
FlinchFree Jewel :  5 Uragaan Scale+, 3 Bloodrun Jewel
Forceshot Jewel :  1 Lagiacrus Claw, 1 Sunspire Jewel
Forceshot Jewel+ :  2 Agnaktor Claw+, 3 Lazurite Jewel
Pierce Jewel :  2 Diablos Fang, 1 Sunspire Jewel
Pierce Jewel+ :  2 Agnaktor Fin+, 3 Lazurite Jewel
Pellet Jewel :  1 Isisium, 1 Sunspire Jewel
Pellet Jewel+ :  2 Gracium, 3 Bloodrun Jewel
ShotPlus Jewel :  1 Barroth Ridge, 1 Aquaglow Jewel
ShotPlus Jewel+ :  3 Barroth Carapace, 2 Bloodrun Jewel
PiercPlus Jewel :  1 Diablos Shell, 1 Sunspire Jewel
PiercPlus Jewel+ :  3 Diablos Carapace, 2 Lazurite Jewel
PelletPlus Jewel :  2 R.Ludroth Claw, 1 Sunspire Jewel
CragPlus Jewel :  2 Rhenoplos Scalp, 1 Sunspire Jewel
ClustPlus Jewel :  1 Mohran Scale, 1 Sunspire Jewel
Disabler Jewel :  1 Uncanny Hide, 1 Sunspire Jewel
Disabler Jewel+ :  3 Unnerving Talon+, 2 Lazurite Jewel
Element Jewel :  1 Shell Shocker, 1 Sunspire Jewel
