Agnaktor Helm : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Mail : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Vambraces : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Faulds : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Greaves : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Agnaktor Cap : Agnaktor Carapace x4, Agnaktor Fin+ x1, Ioprey Hide+ x4 : 4 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 4 イーオスの上皮
Agnaktor Vest : Agnaktor Carapace x2, Agnaktor Fin+ x1, Firecell Stone x1 : 2 炎戈竜の堅殻, 1 炎戈竜の上ヒレ, 1 獄炎石
Agnaktor Guards : Agnaktor Carapace x4, B.Tigrex Claw+ x2, Firestone x4 : 4 炎戈竜の堅殻, 2 黒轟竜の尖爪, 4 紅蓮石
Agnaktor Coat : Agnaktor Carapace x2, Wyvern Stone x1, Ioprey Scale+ x6 : 2 炎戈竜の堅殻, 1 竜玉, 6 イーオスの上鱗
Agnaktor Leggings : Agnaktor Carapace x3, Brachydios Carapace x3, Ioprey Scale+ x4 : 3 炎戈竜の堅殻, 3 砕竜の堅殻, 4 イーオスの上鱗
Akatsuki Kabuto : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akatsuki Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akatsuki Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akatsuki Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akatsuki Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Akebono Eboshi : Lao Shan Horn x1, Lao Shan Shell x4, Brachydios Scalp x1 : 1 老山龍の角, 4 老山龍の甲殻, 1 砕竜の頭殻
Akebono Doate : Lao Shan Shell x4, Firestone x2, Tigrex Scalp x1 : 4 老山龍の甲殻, 2 紅蓮石, 1 轟竜の頭殻
Akebono Kote : Lao Shan Shell x3, Lao Shan Claw x1, Rathalos Webbing x2 : 3 老山龍の甲殻, 1 老山龍の大爪, 2 火竜の翼膜
Akebono Koshiate : Lao Shan Shell x4, Dragonite Ore x3, Gravios Shell x5 : 4 老山龍の甲殻, 3 ドラグライト鉱石, 5 鎧竜の甲殻
Akebono Gusoku : Lao Shan Claw x3, Lao Shan Shell x5, Rathian Spike x2 : 3 老山龍の大爪, 5 老山龍の甲殻, 2 雌火竜の棘
Alloy Helm S : Carbalite Ore x1, Levitalite Ore x1, Dragonite Ore x5, Ice Crystal x3 : 1 カブレライト鉱石, 1 レビテライト鉱石, 5 ドラグライト鉱石, 3 氷結晶
Alloy Mail S : Carbalite Ore x2, Levitalite Ore x2, Machalite Ore x7, Iron Ore x10 : 2 カブレライト鉱石, 2 レビテライト鉱石, 7 マカライト鉱石, 10 鉄鉱石
Alloy Vambraces S : Carbalite Ore x3, Levitalite Ore x2, Machalite Ore x7, Earth Crystal x7 : 3 カブレライト鉱石, 2 レビテライト鉱石, 7 マカライト鉱石, 7 大地の結晶
Alloy Coil S : Carbalite Ore x2, Levitalite Ore x1, Dragonite Ore x5, Ice Crystal x5 : 2 カブレライト鉱石, 1 レビテライト鉱石, 5 ドラグライト鉱石, 5 氷結晶
Alloy Greaves S : Carbalite Ore x3, Levitalite Ore x3, Firestone x3, Ice Crystal x5 : 3 カブレライト鉱石, 3 レビテライト鉱石, 3 紅蓮石, 5 氷結晶
Alloy Cap S : Carbalite Ore x1, Levitalite Ore x1, Dragonite Ore x5, Ice Crystal x3 : 1 カブレライト鉱石, 1 レビテライト鉱石, 5 ドラグライト鉱石, 3 氷結晶
Alloy Vest S : Carbalite Ore x2, Levitalite Ore x2, Machalite Ore x7, Iron Ore x10 : 2 カブレライト鉱石, 2 レビテライト鉱石, 7 マカライト鉱石, 10 鉄鉱石
Alloy Guards S : Carbalite Ore x3, Levitalite Ore x2, Machalite Ore x7, Earth Crystal x7 : 3 カブレライト鉱石, 2 レビテライト鉱石, 7 マカライト鉱石, 7 大地の結晶
Alloy Coat S : Carbalite Ore x2, Levitalite Ore x1, Dragonite Ore x5, Ice Crystal x5 : 2 カブレライト鉱石, 1 レビテライト鉱石, 5 ドラグライト鉱石, 5 氷結晶
Alloy Leggings S : Carbalite Ore x3, Levitalite Ore x3, Firestone x3, Ice Crystal x5 : 3 カブレライト鉱石, 3 レビテライト鉱石, 3 紅蓮石, 5 氷結晶
Alloy Helm : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Mail : Machalite Ore x3, Monster Bone S x2, Iron Ore x2 : 3 マカライト鉱石, 2 竜骨【小】, 2 鉄鉱石
Alloy Vambraces : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coil : Machalite Ore x2, Monster Bone S x2, Iron Ore x3 : 2 マカライト鉱石, 2 竜骨【小】, 3 鉄鉱石
Alloy Greaves : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Alloy Cap : Machalite Ore x3, Earth Crystal x2, Iron Ore x3 : 3 マカライト鉱石, 2 大地の結晶, 3 鉄鉱石
Alloy Vest : Machalite Ore x3, Monster Bone S x2, Iron Ore x2 : 3 マカライト鉱石, 2 竜骨【小】, 2 鉄鉱石
Alloy Guards : Machalite Ore x2, Earth Crystal x2, Iron Ore x4 : 2 マカライト鉱石, 2 大地の結晶, 4 鉄鉱石
Alloy Coat : Machalite Ore x2, Monster Bone S x2, Iron Ore x3 : 2 マカライト鉱石, 2 竜骨【小】, 3 鉄鉱石
Alloy Leggings : Machalite Ore x4, Earth Crystal x2, Iron Ore x2 : 4 マカライト鉱石, 2 大地の結晶, 2 鉄鉱石
Amagi Hachi : Proof of Hope x1, Mohran Scale+ x5, Rough Dragonhorn+ x4, Mohran Rockskin+ x5 : 1 希望の証, 5 豪山龍の上紅鱗, 4 荒々しい龍尖角, 5 豪山龍の堅岩殻
Amagi Muneate : Proof of Hope x1, Mohran Rockskin+ x6, Rough Dragonhorn+ x4, Elder Dragon Blood x1 : 1 希望の証, 6 豪山龍の堅岩殻, 4 荒々しい龍尖角, 1 古龍の血
