Yukumo Kasa : 1 Yukumo Wood, 1 Gagua Feather
Yukumo Dogi : 2 Yukumo Wood, 2 Ivy
Yukumo Kote : 2 Yukumo Wood, 1 Ivy
Yukumo Obi : 1 Yukumo Wood, 2 Iron Ore
Yukumo Hakama : 2 Yukumo Wood, 2 Carpenterbug
Leather Headgear : 1 Warm Pelt, 1 Iron Ore
Leather Vest : 1 Bullfango Pelt, 1 Iron Ore
Leather Gloves : 2 Warm Pelt
Leather Belt : 1 Bullfango Pelt, 1 Iron Ore
Leather Pants : 2 Warm Pelt
Chainmail Headgear : 1 Earth Crystal, 1 Iron Ore
Chainmail Vest : 2 Iron Ore, 1 Yukumo Wood
Chainmail Gloves : 1 Iron Ore, 2 Yukumo Wood
Chainmail Belt : 1 Iron Ore, 2 Warm Pelt
Chainmail Pants : 2 Iron Ore, 2 Yukumo Wood
Loc Lac Shawl : 1 Altaroth Stomach, 3 Monster Fluid, 3 Ice Crystal
Loc Lac Kilt : 2 Altaroth Stomach, 2 Altaroth Jaw, 3 Ice Crystal
Loc Lac Boots : 3 Altaroth Jaw, 2 Altaroth Stomach, 3 Ice Crystal
Hunter's Helm : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Mail : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Vambraces : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Faulds : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Greaves : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Hunter's Cap : 1 Machalite Ore, 1 Iron Ore, 2 Carpenterbug
Hunter's Vest : 2 Iron Ore, 1 Jaggi Scale, 2 Bullfango Pelt
Hunter's Guards : 1 Earth Crystal, 2 Jaggi Scale, 1 Ivy
Hunter's Coat : 2 Bullfango Pelt, 1 Iron Ore, 1 Carpenterbug
Hunter's Leggings : 1 Iron Ore, 1 Bullfango Pelt, 2 Yukumo Wood
Bone Helm : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Mail : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Vambraces : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Faulds : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Greaves : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Bone Cap : 3 Big Fin, 1 Unknown Skull, 2 Sharpened Fang
Bone Vest : 1 Giant Bone, 4 Mystery Bone, 2 Sharpened Fang
Bone Guards : 3 Monster Bone S, 3 Mystery Bone, 2 Sharpened Fang
Bone Coat : 3 Monster Bone S, 3 Bone, 2 Sharpened Fang
Bone Leggings : 2 Monster Bone M, 2 Bone, 4 Mystery Bone
Alloy Helm : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Mail : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Vambraces : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coil : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Greaves : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Alloy Cap : 3 Machalite Ore, 2 Bealite Ore, 3 Iron Ore
Alloy Vest : 3 Machalite Ore, 2 Pelagicite Ore, 2 Iron Ore
Alloy Guards : 2 Machalite Ore, 2 Bealite Ore, 4 Iron Ore
Alloy Coat : 2 Machalite Ore, 2 Pelagicite Ore, 3 Iron Ore
Alloy Leggings : 4 Machalite Ore, 2 Bealite Ore, 2 Iron Ore
Bnahabra Hat : 2 Bnahabra Shell, 3 Bnahabra Wing, 1 Killer Beetle, 2 Carpenterbug
Bnahabra Suit : 2 Bnahabra Shell, 3 Bnahabra Wing, 2 Monster Fluid, 1 Killer Beetle
Bnahabra Glove : 3 Bnahabra Wing, 2 Bnahabra Shell, 5 Bnahabra Stinger, 2 Killer Beetle
Bnahabra Coil : 3 Bnahabra Wing, 2 Bnahabra Shell, 1 Monster Fluid, 2 Killer Beetle
Bnahabra Boots : 2 Bnahabra Shell, 3 Bnahabra Wing, 2 Killer Beetle, 3 Carpenterbug
Bnahabra Cap : 2 Bnahabra Shell, 3 Bnahabra Wing, 1 Killer Beetle, 2 Carpenterbug
Bnahabra Vest : 2 Bnahabra Shell, 3 Bnahabra Wing, 2 Monster Fluid, 1 Killer Beetle
Bnahabra Cuffs : 3 Bnahabra Wing, 2 Bnahabra Shell, 5 Bnahabra Stinger, 2 Killer Beetle
Bnahabra Coat : 3 Bnahabra Wing, 2 Bnahabra Shell, 1 Monster Fluid, 2 Killer Beetle
Bnahabra Pants : 2 Bnahabra Shell, 3 Bnahabra Wing, 2 Killer Beetle, 3 Carpenterbug
Rhenoplos Helm : 1 Renoplos Scalp, 2 Rhenoplos Shell, 2 Ice Crystal
Rhenoplos Mail : 1 Renoplos Scalp, 2 Rhenoplos Shell, 2 Earth Crystal
Rhenoplos Vambraces : 2 Rhenoplos Shell, 4 Monster Bone M, 2 Ice Crystal
Rhenoplos Coil : 2 Rhenoplos Shell, 1 Renoplos Scalp, 2 Earth Crystal
Rhenoplos Greaves : 2 Rhenoplos Shell, 6 Monster Bone S, 2 Ice Crystal
Rhenoplos Cap : 1 Renoplos Scalp, 2 Rhenoplos Shell, 2 Ice Crystal
Rhenoplos Vest : 1 Renoplos Scalp, 2 Rhenoplos Shell, 2 Earth Crystal
Rhenoplos Guards : 2 Rhenoplos Shell, 4 Monster Bone M, 2 Ice Crystal
Rhenoplos Coat : 2 Rhenoplos Shell, 1 Renoplos Scalp, 2 Earth Crystal
Rhenoplos Leggings : 2 Rhenoplos Shell, 6 Monster Bone S, 2 Ice Crystal
Jaggi Helm : 3 Great Jaggi Hide, 1 Great Jaggi Claw, 2 Jaggi Scale, 3 Iron Ore
Jaggi Mail : 1 King's Frill, 2 Great Jaggi Claw, 3 Jaggi Hide, 3 Iron Ore
Jaggi Vambraces : 2 Great Jaggi Claw, 3 Great Jaggi Hide, 2 Jaggi Scale, 2 Earth Crystal
Jaggi Faulds : 2 Great Jaggi Hide, 1 King's Frill, 3 Jaggi Hide, 1 Earth Crystal
Jaggi Greaves : 4 Jaggi Hide, 3 Jaggi Scale, 4 Monster Bone S, 2 Machalite Ore
Jaggi Cap : 3 Great Jaggi Hide, 1 Great Jaggi Claw, 2 Jaggi Scale, 3 Iron Ore
Jaggi Vest : 1 King's Frill, 2 Great Jaggi Claw, 3 Jaggi Hide, 3 Iron Ore
Jaggi Guards : 2 Great Jaggi Claw, 3 Great Jaggi Hide, 2 Jaggi Scale, 2 Earth Crystal
Jaggi Coat : 2 Great Jaggi Hide, 1 King's Frill, 3 Jaggi Hide, 1 Earth Crystal
Jaggi Leggings : 4 Jaggi Hide, 3 Jaggi Scale, 4 Monster Bone S, 2 Machalite Ore
Qurupeco Helm : 2 Strange Beak, 2 Qurupeco Feathr, 2 Monster Bone M, 3 Carpenterbug
Qurupeco Mail : 1 Vivid Feather, 2 Qurupeco Scale, 2 Monster Bone M, 3 Carpenterbug
